group,concentration_cfu_ml,time_min,likert_score_mean,likert_score_sd,likert_score_N,match_distance_rgb_mean,match_distance_rgb_sd,match_distance_rgb_N
0 (Sterile Negative Control),0.0,0,1.0,0.0,4,155.39,37.621213,4
0 (Sterile Negative Control),0.0,5,1.0,0.0,4,139.16,41.280431,4
0 (Sterile Negative Control),0.0,10,1.0,0.0,4,127.5625,49.069806,4
0 (Sterile Negative Control),0.0,15,1.0,0.0,4,86.95,63.016622,4
0 (Sterile Negative Control),0.0,20,1.0,0.0,4,86.665,62.753704,4
0 (Sterile Negative Control),0.0,25,1.0,0.0,4,86.6,62.876091,4
0 (Sterile Negative Control),0.0,30,1.0,0.0,4,87.16,63.383017,4
0 (Sterile Negative Control),0.0,35,1.0,0.0,4,87.305,63.518101,4
0 (Sterile Negative Control),0.0,40,1.0,0.0,4,118.69,48.668049,4
0 (Sterile Negative Control),0.0,45,1.0,0.0,4,111.7925,49.242151,4
0 (Sterile Negative Control),0.0,50,1.0,0.0,4,106.075,49.593309,4
0 (Sterile Negative Control),0.0,55,1.0,0.0,4,102.9925,50.03643,4
0 (Sterile Negative Control),0.0,60,1.0,0.0,4,100.7725,49.22479,4
0 (Sterile Negative Control),0.0,65,1.0,0.0,4,98.29,49.762694,4
0 (Sterile Negative Control),0.0,70,1.0,0.0,4,97.6,49.137712,4
0 (Sterile Negative Control),0.0,75,1.0,0.0,4,95.6625,47.723409,4
0 (Sterile Negative Control),0.0,80,1.0,0.0,4,94.525,47.537883,4
0 (Sterile Negative Control),0.0,85,1.0,0.0,4,94.045,47.47011,4
0 (Sterile Negative Control),0.0,90,1.0,0.0,4,93.6025,47.446258,4
0 (Sterile Negative Control),0.0,95,1.0,0.0,4,92.8425,47.109834,4
0 (Sterile Negative Control),0.0,100,1.0,0.0,4,93.0925,47.414429,4
0 (Sterile Negative Control),0.0,105,1.0,0.0,4,86.9325,54.049917,4
0 (Sterile Negative Control),0.0,110,1.0,0.0,4,90.8575,57.935203,4
0 (Sterile Negative Control),0.0,115,1.0,0.0,4,91.0,58.460486,4
0 (Sterile Negative Control),0.0,120,1.0,0.0,4,86.57,62.532052,4
10^1,10.0,0,1.0,0.0,4,137.385,27.665478,4
10^1,10.0,5,1.0,0.0,4,121.225,27.847664,4
10^1,10.0,10,1.0,0.0,4,110.685,34.236473,4
10^1,10.0,15,1.0,0.0,4,59.2825,29.407044,4
10^1,10.0,20,1.0,0.0,4,59.345,29.208634,4
10^1,10.0,25,1.0,0.0,4,58.8675,29.028166,4
10^1,10.0,30,1.0,0.0,4,59.35,28.950858,4
10^1,10.0,35,1.0,0.0,4,59.2825,28.931467,4
10^1,10.0,40,1.0,0.0,4,99.605,28.897239,4
10^1,10.0,45,1.0,0.0,4,92.7925,26.889561,4
10^1,10.0,50,1.0,0.0,4,87.4125,25.473339,4
10^1,10.0,55,1.0,0.0,4,84.0,24.952365,4
10^1,10.0,60,1.0,0.0,4,76.94,28.99361,4
10^1,10.0,65,1.0,0.0,4,74.465,28.127886,4
10^1,10.0,70,1.0,0.0,4,72.945,27.039193,4
10^1,10.0,75,1.0,0.0,4,71.9225,25.780886,4
10^1,10.0,80,1.0,0.0,4,71.0175,25.047241,4
10^1,10.0,85,1.0,0.0,4,70.1,24.318379,4
10^1,10.0,90,1.0,0.0,4,69.5825,23.902399,4
10^1,10.0,95,1.0,0.0,4,69.005,23.672266,4
10^1,10.0,100,1.0,0.0,4,69.0825,22.936847,4
10^1,10.0,105,1.0,0.0,4,57.6275,27.534897,4
10^1,10.0,110,1.0,0.0,4,62.1725,27.065129,4
10^1,10.0,115,1.0,0.0,4,62.2075,27.425816,4
10^1,10.0,120,1.0,0.0,4,58.62,29.153636,4
10^2,100.0,0,1.0,0.0,4,130.89,16.730302,4
10^2,100.0,5,1.0,0.0,4,114.74,18.565069,4
10^2,100.0,10,1.0,0.0,4,103.48,25.23504,4
10^2,100.0,15,1.0,0.0,4,53.1025,26.77655,4
10^2,100.0,20,1.0,0.0,4,53.4,26.556277,4
10^2,100.0,25,1.0,0.0,4,53.0475,25.958426,4
10^2,100.0,30,1.0,0.0,4,53.7275,25.881287,4
10^2,100.0,35,1.0,0.0,4,53.985,25.645255,4
10^2,100.0,40,1.0,0.0,4,90.43,19.98571,4
10^2,100.0,45,1.0,0.0,4,81.72,18.021374,4
10^2,100.0,50,1.0,0.0,4,76.1975,18.485099,4
10^2,100.0,55,1.0,0.0,4,72.8025,19.516881,4
10^2,100.0,60,1.0,0.0,4,65.4025,23.364568,4
10^2,100.0,65,1.0,0.0,4,63.8225,23.381222,4
10^2,100.0,70,1.0,0.0,4,62.72,22.756741,4
10^2,100.0,75,1.0,0.0,4,62.0925,22.000575,4
10^2,100.0,80,1.0,0.0,4,61.2375,21.574269,4
10^2,100.0,85,1.0,0.0,4,60.57,21.447811,4
10^2,100.0,90,1.0,0.0,4,60.275,21.328511,4
10^2,100.0,95,1.0,0.0,4,59.755,21.210347,4
10^2,100.0,100,1.0,0.0,4,59.9075,20.837062,4
10^2,100.0,105,1.0,0.0,4,49.01,25.049633,4
10^2,100.0,110,1.0,0.0,4,54.2275,25.890543,4
10^2,100.0,115,1.0,0.0,4,54.3425,26.03215,4
10^2,100.0,120,1.0,0.0,4,52.2475,26.629094,4
10^3,1000.0,0,1.0,0.0,4,150.9875,31.630581,4
10^3,1000.0,5,1.0,0.0,4,133.065,29.893721,4
10^3,1000.0,10,1.0,0.0,4,118.64,38.916974,4
10^3,1000.0,15,1.25,0.5,4,68.125,41.588791,4
10^3,1000.0,20,1.25,0.5,4,68.2175,41.515568,4
10^3,1000.0,25,1.25,0.5,4,67.96,41.481962,4
10^3,1000.0,30,1.25,0.5,4,68.53,41.671679,4
10^3,1000.0,35,1.25,0.5,4,68.63,41.846583,4
10^3,1000.0,40,1.0,0.0,4,103.8025,36.598611,4
10^3,1000.0,45,1.0,0.0,4,95.0225,36.671745,4
10^3,1000.0,50,1.0,0.0,4,88.87,37.099435,4
10^3,1000.0,55,1.0,0.0,4,85.89,38.760121,4
10^3,1000.0,60,1.0,0.0,4,79.1125,41.228792,4
10^3,1000.0,65,1.0,0.0,4,77.115,41.565348,4
10^3,1000.0,70,1.0,0.0,4,75.9875,40.891248,4
10^3,1000.0,75,1.0,0.0,4,75.35,40.468662,4
10^3,1000.0,80,1.0,0.0,4,74.7925,40.045593,4
10^3,1000.0,85,1.0,0.0,4,74.3725,39.954388,4
10^3,1000.0,90,1.0,0.0,4,74.295,39.741063,4
10^3,1000.0,95,1.0,0.0,4,74.0025,39.645694,4
10^3,1000.0,100,1.0,0.0,4,74.17,39.444702,4
10^3,1000.0,105,2.0,2.0,4,91.4,92.938066,4
10^3,1000.0,110,1.0,0.0,4,68.8275,39.121305,4
10^3,1000.0,115,1.0,0.0,4,68.9925,39.728206,4
10^3,1000.0,120,1.25,0.5,4,67.4925,41.277718,4
10^4,10000.0,0,1.0,0.0,4,160.2225,24.593431,4
10^4,10000.0,5,1.0,0.0,4,147.69,17.625296,4
10^4,10000.0,10,1.0,0.0,4,137.1275,21.22069,4
10^4,10000.0,15,1.0,0.0,4,88.0225,45.359802,4
10^4,10000.0,20,1.0,0.0,4,87.875,45.024286,4
10^4,10000.0,25,1.0,0.0,4,87.8875,45.127732,4
10^4,10000.0,30,1.0,0.0,4,88.2125,45.515354,4
10^4,10000.0,35,1.0,0.0,4,88.3875,45.394961,4
10^4,10000.0,40,1.0,0.0,4,127.475,18.148261,4
10^4,10000.0,45,1.0,0.0,4,121.4125,17.818386,4
10^4,10000.0,50,1.0,0.0,4,116.3275,18.001384,4
10^4,10000.0,55,1.0,0.0,4,113.17,18.056286,4
10^4,10000.0,60,1.0,0.0,4,108.9975,17.89676,4
10^4,10000.0,65,1.0,0.0,4,106.9975,18.560094,4
10^4,10000.0,70,1.0,0.0,4,105.87,18.30895,4
10^4,10000.0,75,1.0,0.0,4,105.2175,18.848948,4
10^4,10000.0,80,1.0,0.0,4,104.4725,18.891561,4
10^4,10000.0,85,1.0,0.0,4,103.795,19.252135,4
10^4,10000.0,90,1.0,0.0,4,103.4025,19.402686,4
10^4,10000.0,95,1.0,0.0,4,102.6575,19.703412,4
10^4,10000.0,100,1.0,0.0,4,102.77,19.908862,4
10^4,10000.0,105,1.0,0.0,4,94.795,29.67674,4
10^4,10000.0,110,1.0,0.0,4,98.935,33.191893,4
10^4,10000.0,115,1.0,0.0,4,99.0025,33.550719,4
10^4,10000.0,120,1.0,0.0,4,87.7175,44.873144,4
10^5,100000.0,0,1.0,0.0,4,139.53,35.697992,4
10^5,100000.0,5,1.0,0.0,4,125.8075,36.085539,4
10^5,100000.0,10,1.0,0.0,4,115.61,32.525804,4
10^5,100000.0,15,1.0,0.0,4,69.9575,24.030173,4
10^5,100000.0,20,1.0,0.0,4,70.165,23.914844,4
10^5,100000.0,25,1.0,0.0,4,69.73,24.165133,4
10^5,100000.0,30,1.0,0.0,4,70.165,24.089534,4
10^5,100000.0,35,1.0,0.0,4,70.3075,24.15171,4
10^5,100000.0,40,1.0,0.0,4,105.0525,32.104779,4
10^5,100000.0,45,1.0,0.0,4,98.9775,30.905376,4
10^5,100000.0,50,1.0,0.0,4,94.4475,29.526673,4
10^5,100000.0,55,1.0,0.0,4,90.9975,29.012433,4
10^5,100000.0,60,1.0,0.0,4,82.145,38.805893,4
10^5,100000.0,65,1.0,0.0,4,80.375,37.430257,4
10^5,100000.0,70,1.0,0.0,4,79.205,37.103066,4
10^5,100000.0,75,1.0,0.0,4,79.7225,34.113695,4
10^5,100000.0,80,1.0,0.0,4,79.1275,33.498661,4
10^5,100000.0,85,1.0,0.0,4,78.425,33.179742,4
10^5,100000.0,90,1.0,0.0,4,78.165,32.804707,4
10^5,100000.0,95,1.0,0.0,4,77.7475,32.972756,4
10^5,100000.0,100,1.0,0.0,4,77.8025,32.28379,4
10^5,100000.0,105,1.0,0.0,4,74.62,27.377462,4
10^5,100000.0,110,1.0,0.0,4,80.5375,19.452164,4
10^5,100000.0,115,1.0,0.0,4,80.9425,18.703938,4
10^5,100000.0,120,1.0,0.0,4,69.225,23.922581,4
10^6,1000000.0,0,1.0,0.0,4,125.275,38.039746,4
10^6,1000000.0,5,1.0,0.0,4,107.0,36.796937,4
10^6,1000000.0,10,1.0,0.0,4,95.9675,33.368966,4
10^6,1000000.0,15,1.0,0.0,4,66.65,16.340443,4
10^6,1000000.0,20,1.0,0.0,4,67.2825,16.379362,4
10^6,1000000.0,25,1.0,0.0,4,67.38,16.661282,4
10^6,1000000.0,30,1.0,0.0,4,68.4775,16.893794,4
10^6,1000000.0,35,1.0,0.0,4,69.2125,17.179469,4
10^6,1000000.0,40,1.0,0.0,4,86.14,34.289138,4
10^6,1000000.0,45,1.0,0.0,4,81.605,34.223661,4
10^6,1000000.0,50,1.0,0.0,4,78.9975,33.118135,4
10^6,1000000.0,55,1.0,0.0,4,77.635,32.697876,4
10^6,1000000.0,60,1.0,0.0,4,72.23,39.887288,4
10^6,1000000.0,65,1.0,0.0,4,71.91,38.859318,4
10^6,1000000.0,70,1.0,0.0,4,71.765,38.292334,4
10^6,1000000.0,75,1.0,0.0,4,72.505,37.9289,4
10^6,1000000.0,80,1.0,0.0,4,72.6425,37.427812,4
10^6,1000000.0,85,1.0,0.0,4,72.6175,37.10274,4
10^6,1000000.0,90,1.0,0.0,4,73.1775,36.630281,4
10^6,1000000.0,95,1.0,0.0,4,73.435,36.385606,4
10^6,1000000.0,100,1.0,0.0,4,74.295,35.547655,4
10^6,1000000.0,105,1.0,0.0,4,68.86,27.27606,4
10^6,1000000.0,110,1.0,0.0,4,74.585,20.008227,4
10^6,1000000.0,115,1.0,0.0,4,75.35,19.363827,4
10^6,1000000.0,120,3.75,1.892969,4,154.2125,76.355504,4
10^6,1000000.0,125,1.0,0.0,4,65.35,16.431184,4
10^7,10000000.0,0,1.75,1.5,4,129.8275,44.685958,4
10^7,10000000.0,5,1.0,0.0,4,110.4075,46.545423,4
10^7,10000000.0,10,1.0,0.0,4,101.9025,45.139441,4
10^7,10000000.0,15,4.0,0.0,4,79.0625,23.528235,4
10^7,10000000.0,20,4.0,0.0,4,78.585,23.589626,4
10^7,10000000.0,25,4.0,0.0,4,77.7475,24.004149,4
10^7,10000000.0,30,4.0,0.0,4,77.3275,24.237852,4
10^7,10000000.0,35,4.0,0.0,4,76.625,24.537493,4
10^7,10000000.0,40,1.0,0.0,4,94.89,46.682558,4
10^7,10000000.0,45,1.0,0.0,4,91.6325,46.803838,4
10^7,10000000.0,50,1.0,0.0,4,90.1925,45.581255,4
10^7,10000000.0,55,1.0,0.0,4,89.985,44.742282,4
10^7,10000000.0,60,1.25,0.5,4,86.0225,50.548978,4
10^7,10000000.0,65,2.0,1.414214,4,86.6225,49.241574,4
10^7,10000000.0,70,2.0,1.414214,4,86.96,47.807255,4
10^7,10000000.0,75,2.0,1.414214,4,88.9,45.360679,4
10^7,10000000.0,80,1.75,1.5,4,90.125,43.453446,4
10^7,10000000.0,85,1.75,1.5,4,92.3775,40.735279,4
10^7,10000000.0,90,2.5,1.732051,4,96.7475,36.205083,4
10^7,10000000.0,95,4.0,0.0,4,96.3475,35.336225,4
10^7,10000000.0,100,4.0,0.0,4,91.0875,40.936888,4
10^7,10000000.0,105,4.0,0.0,4,81.6225,44.737158,4
10^7,10000000.0,110,4.0,0.0,4,87.39,37.029477,4
10^7,10000000.0,115,4.0,0.0,4,87.3225,37.04162,4
10^7,10000000.0,120,4.0,0.0,4,79.52,23.428841,4
10^8 (Positive Control),100000000.0,0,2.75,2.061553,4,146.595,32.810846,4
10^8 (Positive Control),100000000.0,5,2.5,1.732051,4,133.83,33.843878,4
10^8 (Positive Control),100000000.0,10,2.5,1.732051,4,127.615,30.07459,4
10^8 (Positive Control),100000000.0,15,4.75,0.5,4,100.7825,25.626366,4
10^8 (Positive Control),100000000.0,20,4.75,0.5,4,100.085,25.982913,4
10^8 (Positive Control),100000000.0,25,4.75,0.5,4,100.025,26.385317,4
10^8 (Positive Control),100000000.0,30,4.75,0.5,4,100.01,26.587299,4
10^8 (Positive Control),100000000.0,35,4.75,0.5,4,99.8225,26.741165,4
10^8 (Positive Control),100000000.0,40,2.5,1.732051,4,120.7325,33.869201,4
10^8 (Positive Control),100000000.0,45,3.25,1.5,4,117.865,33.362113,4
10^8 (Positive Control),100000000.0,50,3.25,1.5,4,116.8075,29.980365,4
10^8 (Positive Control),100000000.0,55,4.0,0.0,4,116.1475,28.115383,4
10^8 (Positive Control),100000000.0,60,4.0,0.0,4,112.99,28.003475,4
10^8 (Positive Control),100000000.0,65,4.0,0.0,4,113.575,25.949847,4
10^8 (Positive Control),100000000.0,70,4.0,0.0,4,112.8825,24.732322,4
