group,concentration_cfu_ml,time_min,R_mean,R_sd,R_N,G_mean,G_sd,G_N,B_mean,B_sd,B_N,RG_ratio_mean,RG_ratio_sd,RG_ratio_N,RB_ratio_mean,RB_ratio_sd,RB_ratio_N,GB_ratio_mean,GB_ratio_sd,GB_ratio_N
0 (Sterile Negative Control),0.0,0,196.720575,24.164523,4,195.960675,23.313973,4,232.683325,26.257468,4,1.006799,0.015584,4,0.937217,0.033145,4,0.931349,0.045018,4
0 (Sterile Negative Control),0.0,5,186.0395,25.464734,4,183.116475,26.337318,4,232.985025,26.07518,4,1.014847,0.018214,4,0.916152,0.032547,4,0.903027,0.038009,4
0 (Sterile Negative Control),0.0,10,178.710275,30.554947,4,173.860525,31.959296,4,232.22015,26.967825,4,1.024219,0.017608,4,0.904581,0.040809,4,0.883268,0.03917,4
0 (Sterile Negative Control),0.0,15,158.220475,43.356395,4,126.74485,45.816028,4,220.22265,41.24786,4,1.085462,0.108034,4,1.008098,0.044389,4,0.936946,0.115002,4
0 (Sterile Negative Control),0.0,20,158.10215,43.079663,4,126.4123,45.635831,4,220.22725,41.223503,4,1.079716,0.108746,4,1.011561,0.044122,4,0.945253,0.116,4
0 (Sterile Negative Control),0.0,25,157.713475,42.962569,4,126.60075,46.220757,4,220.2035,41.26187,4,1.072976,0.111117,4,1.013444,0.045798,4,0.953432,0.120259,4
0 (Sterile Negative Control),0.0,30,158.189925,43.301421,4,126.922775,46.761384,4,220.236225,41.219921,4,1.066954,0.115441,4,1.01639,0.046262,4,0.962362,0.125745,4
0 (Sterile Negative Control),0.0,35,158.375325,43.299053,4,127.020025,46.917629,4,220.301175,41.103765,4,1.060616,0.117713,4,1.019324,0.04847,4,0.971506,0.131386,4
0 (Sterile Negative Control),0.0,40,174.50365,30.577772,4,165.12145,30.739745,4,231.798725,27.561398,4,1.042022,0.019665,4,0.904732,0.045889,4,0.868337,0.043243,4
0 (Sterile Negative Control),0.0,45,170.72845,30.825801,4,158.71165,31.057252,4,231.489525,27.912268,4,1.0561,0.021404,4,0.904232,0.045413,4,0.856386,0.044327,4
0 (Sterile Negative Control),0.0,50,167.564525,31.018425,4,153.410025,31.018044,4,230.90055,28.63687,4,1.069568,0.02193,4,0.910676,0.043747,4,0.851726,0.044783,4
0 (Sterile Negative Control),0.0,55,166.2093,31.338688,4,150.181,31.160129,4,230.5514,28.934433,4,1.077426,0.023824,4,0.91648,0.04037,4,0.851054,0.045023,4
0 (Sterile Negative Control),0.0,60,165.176975,30.431604,4,147.784675,30.775738,4,230.3448,29.15952,4,1.084072,0.026038,4,0.921451,0.031081,4,0.850558,0.040948,4
0 (Sterile Negative Control),0.0,65,164.09075,31.099817,4,145.0961,30.742418,4,230.142825,29.340685,4,1.089304,0.029748,4,0.927946,0.02882,4,0.85261,0.042681,4
0 (Sterile Negative Control),0.0,70,164.0186,30.557697,4,143.988425,30.360018,4,230.1089,29.410556,4,1.090846,0.033494,4,0.935139,0.025789,4,0.85818,0.044148,4
0 (Sterile Negative Control),0.0,75,163.31365,29.995565,4,141.479075,28.746006,4,230.25955,29.249472,4,1.093486,0.034245,4,0.942686,0.025577,4,0.863126,0.046717,4
0 (Sterile Negative Control),0.0,80,162.694125,29.90261,4,140.271475,28.564177,4,230.277375,29.242715,4,1.092008,0.038526,4,0.948668,0.025269,4,0.869987,0.049816,4
0 (Sterile Negative Control),0.0,85,162.54675,29.796511,4,139.583,28.639503,4,230.3121,29.19778,4,1.090469,0.042312,4,0.955962,0.025807,4,0.87815,0.053883,4
0 (Sterile Negative Control),0.0,90,162.3824,29.686116,4,138.977175,28.804916,4,230.36035,29.134834,4,1.086637,0.045802,4,0.962244,0.02654,4,0.887308,0.058493,4
0 (Sterile Negative Control),0.0,95,161.955625,29.395776,4,138.0915,28.733203,4,230.432675,29.056948,4,1.083216,0.050516,4,0.971175,0.030131,4,0.898703,0.064384,4
0 (Sterile Negative Control),0.0,100,162.356125,29.597133,4,138.007225,29.044497,4,230.44075,29.03897,4,1.077668,0.053598,4,0.978504,0.031435,4,0.910384,0.068064,4
0 (Sterile Negative Control),0.0,105,155.944925,37.208352,4,130.06825,38.147058,4,224.240525,39.171919,4,1.10814,0.099437,4,0.919316,0.110877,4,0.836953,0.147219,4
0 (Sterile Negative Control),0.0,110,160.110025,41.538492,4,131.671125,39.720549,4,224.305325,39.106881,4,1.091478,0.106329,4,0.990369,0.034579,4,0.915108,0.108236,4
0 (Sterile Negative Control),0.0,115,160.1185,41.776904,4,131.752325,40.564985,4,224.215675,39.131307,4,1.086396,0.111902,4,0.994835,0.035494,4,0.924355,0.114292,4
0 (Sterile Negative Control),0.0,120,157.7794,43.01572,4,126.664525,45.366393,4,220.121925,41.395459,4,1.090909,0.102016,4,1.004016,0.04481,4,0.927642,0.109008,4
10^1,10.0,0,186.1146,18.703884,4,177.954025,23.209409,4,236.452475,22.019116,4,1.052702,0.042329,4,0.878749,0.116679,4,0.838684,0.138127,4
10^1,10.0,5,175.4362,19.376372,4,162.95645,27.027852,4,237.431975,21.267873,4,1.083733,0.086025,4,0.855046,0.122556,4,0.79849,0.164204,4
10^1,10.0,10,168.538325,22.649577,4,152.516675,34.605778,4,236.90025,21.724217,4,1.120818,0.14426,4,0.844784,0.122514,4,0.771201,0.185337,4
10^1,10.0,15,138.19675,19.156074,4,87.011375,29.451067,4,216.74345,35.236939,4,1.409074,0.274583,4,0.915693,0.112225,4,0.668643,0.143339,4
10^1,10.0,20,138.07105,18.888451,4,86.591575,29.582389,4,216.9796,35.307581,4,1.404833,0.267789,4,0.917792,0.114427,4,0.671382,0.142237,4
10^1,10.0,25,137.6637,18.569574,4,86.60225,29.700104,4,216.73865,35.01449,4,1.395046,0.259361,4,0.92004,0.115738,4,0.676859,0.141344,4
10^1,10.0,30,138.178075,18.63776,4,86.501725,29.819064,4,216.78025,35.002131,4,1.392719,0.261691,4,0.923779,0.118421,4,0.68088,0.142681,4
