group,concentration_cfu_ml,time_min,cv_R_mean,cv_R_sd,cv_R_N,cv_G_mean,cv_G_sd,cv_G_N,cv_B_mean,cv_B_sd,cv_B_N,cv_RG_mean,cv_RG_sd,cv_RG_N,cv_RB_mean,cv_RB_sd,cv_RB_N,cv_GB_mean,cv_GB_sd,cv_GB_N,sd_flag_mean,sd_flag_sd,sd_flag_N
0 (Sterile Negative Control),0.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
0 (Sterile Negative Control),0.0,0.016888,0.011557,0.0,1,0.028565,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
0 (Sterile Negative Control),0.0,0.017475,0.026285,0.0,1,0.038956,0.0,1,0.0,0.0,1,,,0,,,0,,,0,,,0
0 (Sterile Negative Control),0.0,0.019762,0.084563,0.0,1,0.098414,0.0,1,2.0,0.0,1,,,0,115.0,0.0,1,,,0,,,0
0 (Sterile Negative Control),0.0,0.046701,0.01655,0.0,1,0.034815,0.0,1,5.0,0.0,1,,,0,25.0,0.0,1,,,0,,,0
0 (Sterile Negative Control),0.0,5,0.040367,0.021174,4,0.049634,0.020726,4,0.001542,0.002376,4,0.005608,0.002602,4,0.017784,0.020196,4,0.021679,0.020587,4,0.0,0.0,4
0 (Sterile Negative Control),0.0,10,0.051671,0.030825,4,0.064623,0.033913,4,0.002311,0.002738,4,0.008997,0.002485,4,0.021034,0.022059,4,0.026844,0.025321,4,0.0,0.0,4
0 (Sterile Negative Control),0.0,15,0.07001,0.088048,4,0.127095,0.120911,4,0.018844,0.037687,4,0.033113,0.05242,4,0.036287,0.033724,4,0.03947,0.037387,4,0.0,0.0,4
0 (Sterile Negative Control),0.0,20,0.076902,0.099111,4,0.146006,0.141707,4,0.021062,0.042124,4,0.034072,0.055418,4,0.038371,0.035683,4,0.042335,0.038536,4,0.0,0.0,4
0 (Sterile Negative Control),0.0,25,0.07859,0.102521,4,0.151807,0.150416,4,0.0214,0.042799,4,0.033113,0.053839,4,0.037871,0.035286,4,0.042705,0.037718,4,0.25,0.5,4
0 (Sterile Negative Control),0.0,30,0.077792,0.102743,4,0.15258,0.153933,4,0.021106,0.042211,4,0.032056,0.051398,4,0.03686,0.034204,4,0.042402,0.036428,4,0.25,0.5,4
