group,concentration_cfu_ml,time_min,weighted_score_mean,weighted_score_sd,weighted_score_N
0 (Sterile Negative Control),0.0,0,0.0,0.0,4
0 (Sterile Negative Control),0.0,5,0.0,0.0,4
0 (Sterile Negative Control),0.0,6.0,0.0,0.0,1
0 (Sterile Negative Control),0.0,10,0.0,0.0,4
0 (Sterile Negative Control),0.0,15,0.0,0.0,4
0 (Sterile Negative Control),0.0,20,0.0,0.0,4
0 (Sterile Negative Control),0.0,22.0,0.0,0.0,1
0 (Sterile Negative Control),0.0,25,0.0,0.0,4
0 (Sterile Negative Control),0.0,30,0.0,0.0,4
0 (Sterile Negative Control),0.0,35,0.0,0.0,4
0 (Sterile Negative Control),0.0,37.0,0.0,0.0,1
0 (Sterile Negative Control),0.0,38.0,0.0,0.0,1
0 (Sterile Negative Control),0.0,40,0.0,0.0,4
0 (Sterile Negative Control),0.0,45,0.0,0.0,4
0 (Sterile Negative Control),0.0,50,1.0,1.154701,4
0 (Sterile Negative Control),0.0,55,1.5,1.914854,4
0 (Sterile Negative Control),0.0,60,1.5,1.0,4
0 (Sterile Negative Control),0.0,65,2.0,1.632993,4
0 (Sterile Negative Control),0.0,70,2.5,1.914854,4
0 (Sterile Negative Control),0.0,75,2.5,1.914854,4
0 (Sterile Negative Control),0.0,80,2.5,1.914854,4
0 (Sterile Negative Control),0.0,85,2.5,1.914854,4
0 (Sterile Negative Control),0.0,90,2.5,1.914854,4
0 (Sterile Negative Control),0.0,95,2.0,1.632993,4
0 (Sterile Negative Control),0.0,100,2.0,1.632993,4
0 (Sterile Negative Control),0.0,105,0.5,1.0,4
0 (Sterile Negative Control),0.0,110,0.5,1.0,4
0 (Sterile Negative Control),0.0,115,0.5,1.0,4
0 (Sterile Negative Control),0.0,120,1.75,1.258306,4
10^1,10.0,0,0.0,0.0,4
10^1,10.0,5,0.0,0.0,4
10^1,10.0,5.0,0.0,0.0,1
10^1,10.0,10,0.0,0.0,4
10^1,10.0,15,0.0,0.0,4
10^1,10.0,15.0,0.0,0.0,1
10^1,10.0,20,0.0,0.0,4
10^1,10.0,25,0.0,0.0,4
10^1,10.0,26.0,0.0,0.0,1
10^1,10.0,30,0.0,0.0,4
10^1,10.0,35,0.0,0.0,4
10^1,10.0,40,0.0,0.0,4
10^1,10.0,42.0,1.0,0.0,1
10^1,10.0,45,0.0,0.0,4
10^1,10.0,50,1.5,1.914854,4
10^1,10.0,55,0.5,1.0,4
10^1,10.0,60,0.0,0.0,4
10^1,10.0,65,0.0,0.0,4
10^1,10.0,70,0.5,1.0,4
10^1,10.0,75,1.0,1.154701,4
10^1,10.0,80,1.5,1.914854,4
10^1,10.0,85,2.0,1.632993,4
10^1,10.0,90,2.5,1.914854,4
10^1,10.0,95,2.25,2.061553,4
10^1,10.0,100,2.5,1.914854,4
10^1,10.0,105,1.75,1.707825,4
10^1,10.0,110,2.25,1.707825,4
10^1,10.0,115,2.25,2.629956,4
10^1,10.0,120,1.5,1.0,4
10^2,100.0,0,0.0,0.0,4
10^2,100.0,5,0.0,0.0,4
10^2,100.0,8.0,0.0,0.0,1
10^2,100.0,10,0.0,0.0,4
10^2,100.0,15,0.0,0.0,4
10^2,100.0,20,0.0,0.0,4
10^2,100.0,20.0,0.0,0.0,1
10^2,100.0,25,0.0,0.0,4
10^2,100.0,30,0.0,0.0,4
10^2,100.0,30.0,0.0,0.0,1
10^2,100.0,33.0,0.0,0.0,1
10^2,100.0,35,0.0,0.0,4
10^2,100.0,40,0.0,0.0,4
10^2,100.0,45,0.0,0.0,4
10^2,100.0,50,1.5,1.0,4
10^2,100.0,55,1.0,1.154701,4
10^2,100.0,60,1.0,2.0,4
10^2,100.0,65,0.5,1.0,4
10^2,100.0,70,1.0,1.154701,4
10^2,100.0,75,1.5,1.290994,4
10^2,100.0,80,1.0,1.154701,4
10^2,100.0,85,1.5,1.0,4
10^2,100.0,90,2.5,1.914854,4
10^2,100.0,95,2.5,1.914854,4
10^2,100.0,100,1.5,1.0,4
10^2,100.0,105,1.25,0.957427,4
10^2,100.0,110,2.5,1.914854,4
10^2,100.0,115,1.75,1.707825,4
10^2,100.0,120,1.75,1.258306,4
10^3,1000.0,0,0.0,0.0,4
10^3,1000.0,5,0.0,0.0,4
10^3,1000.0,7.0,0.0,0.0,1
10^3,1000.0,10,0.0,0.0,4
10^3,1000.0,15,0.0,0.0,4
10^3,1000.0,20,0.0,0.0,4
10^3,1000.0,25,0.0,0.0,4
10^3,1000.0,30,0.0,0.0,4
10^3,1000.0,35,0.0,0.0,4
10^3,1000.0,39.0,0.0,0.0,1
10^3,1000.0,40,0.0,0.0,4
10^3,1000.0,40.0,0.0,0.0,1
10^3,1000.0,45,0.0,0.0,4
10^3,1000.0,50,1.5,1.0,4
10^3,1000.0,52.0,5.0,0.0,1
10^3,1000.0,55,2.0,1.632993,4
10^3,1000.0,60,1.5,1.0,4
10^3,1000.0,65,1.0,1.154701,4
10^3,1000.0,70,1.5,1.914854,4
10^3,1000.0,75,1.5,1.914854,4
10^3,1000.0,80,2.5,1.914854,4
10^3,1000.0,85,2.75,1.892969,4
10^3,1000.0,90,3.0,2.0,4
10^3,1000.0,95,3.75,2.061553,4
10^3,1000.0,100,4.0,1.632993,4
10^3,1000.0,105,3.0,2.581989,4
10^3,1000.0,110,2.5,3.0,4
10^3,1000.0,115,2.5,3.0,4
10^3,1000.0,120,1.5,1.914854,4
10^4,10000.0,0,0.0,0.0,4
10^4,10000.0,5,0.0,0.0,4
10^4,10000.0,10,0.0,0.0,4
10^4,10000.0,15,0.0,0.0,4
10^4,10000.0,17.0,0.0,0.0,1
10^4,10000.0,18.0,0.0,0.0,1
