group,concentration_cfu_ml,time_min,sd_flag_mean,sd_flag_sd,sd_flag_N,slope_score_mean,slope_score_sd,slope_score_N,contribution_mean,contribution_sd,contribution_N,cumulative_total_mean,cumulative_total_sd,cumulative_total_N
0 (Sterile Negative Control),0.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
0 (Sterile Negative Control),0.0,5,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
0 (Sterile Negative Control),0.0,10,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
0 (Sterile Negative Control),0.0,15,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
0 (Sterile Negative Control),0.0,20,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
0 (Sterile Negative Control),0.0,25,0.25,0.5,4,0.0,0.0,4,0.25,0.5,4,0.25,0.5,4
0 (Sterile Negative Control),0.0,30,0.25,0.5,4,0.0,0.0,4,0.25,0.5,4,0.5,1.0,4
0 (Sterile Negative Control),0.0,35,0.25,0.5,4,0.0,0.0,4,0.25,0.5,4,0.75,1.5,4
0 (Sterile Negative Control),0.0,40,0.25,0.5,4,0.0,0.0,4,0.25,0.5,4,1.0,2.0,4
0 (Sterile Negative Control),0.0,45,0.25,0.5,4,0.0,0.0,4,0.25,0.5,4,1.25,2.5,4
0 (Sterile Negative Control),0.0,50,0.0,0.0,4,1.0,1.154701,4,1.0,1.154701,4,2.25,2.061553,4
0 (Sterile Negative Control),0.0,55,0.0,0.0,4,1.5,1.914854,4,1.5,1.914854,4,3.75,3.86221,4
0 (Sterile Negative Control),0.0,60,0.0,0.0,4,1.5,1.0,4,1.5,1.0,4,5.25,4.573474,4
0 (Sterile Negative Control),0.0,65,0.0,0.0,4,2.0,1.632993,4,2.0,1.632993,4,7.25,5.619905,4
0 (Sterile Negative Control),0.0,70,0.0,0.0,4,2.5,1.914854,4,2.5,1.914854,4,9.75,6.946222,4
0 (Sterile Negative Control),0.0,75,0.0,0.0,4,2.5,1.914854,4,2.5,1.914854,4,12.25,8.5,4
0 (Sterile Negative Control),0.0,80,0.0,0.0,4,2.5,1.914854,4,2.5,1.914854,4,14.75,10.17759,4
0 (Sterile Negative Control),0.0,85,0.0,0.0,4,2.5,1.914854,4,2.5,1.914854,4,17.25,11.92686,4
0 (Sterile Negative Control),0.0,90,0.0,0.0,4,2.5,1.914854,4,2.5,1.914854,4,19.75,13.720423,4
0 (Sterile Negative Control),0.0,95,0.0,0.0,4,2.0,1.632993,4,2.0,1.632993,4,21.75,15.063753,4
0 (Sterile Negative Control),0.0,100,0.0,0.0,4,2.0,1.632993,4,2.0,1.632993,4,23.75,16.459546,4
0 (Sterile Negative Control),0.0,105,0.0,0.0,4,0.5,1.0,4,0.5,1.0,4,24.25,16.090888,4
0 (Sterile Negative Control),0.0,110,0.0,0.0,4,0.5,1.0,4,0.5,1.0,4,24.75,15.777093,4
0 (Sterile Negative Control),0.0,115,0.25,0.5,4,0.5,1.0,4,0.75,0.957427,4,25.5,15.716234,4
0 (Sterile Negative Control),0.0,120,0.25,0.5,4,1.75,1.258306,4,2.0,1.632993,4,27.5,16.980381,4
10^1,10.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^1,10.0,5,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^1,10.0,10,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^1,10.0,15,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^1,10.0,20,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^1,10.0,25,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^1,10.0,30,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^1,10.0,35,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^1,10.0,40,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^1,10.0,45,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
10^1,10.0,50,0.0,0.0,4,1.5,1.914854,4,1.5,1.914854,4,1.5,1.914854,4
10^1,10.0,55,0.0,0.0,4,0.5,1.0,4,0.5,1.0,4,2.0,2.828427,4
10^1,10.0,60,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,2.0,2.828427,4
10^1,10.0,65,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,2.0,2.828427,4
10^1,10.0,70,0.0,0.0,4,0.5,1.0,4,0.5,1.0,4,2.5,3.785939,4
10^1,10.0,75,0.0,0.0,4,1.0,1.154701,4,1.0,1.154701,4,3.5,4.434712,4
10^1,10.0,80,0.0,0.0,4,1.5,1.914854,4,1.5,1.914854,4,5.0,6.218253,4
10^1,10.0,85,0.0,0.0,4,2.0,1.632993,4,2.0,1.632993,4,7.0,7.745967,4
10^1,10.0,90,0.0,0.0,4,2.5,1.914854,4,2.5,1.914854,4,9.5,9.291573,4
10^1,10.0,95,0.0,0.0,4,2.25,2.061553,4,2.25,2.061553,4,11.75,10.719919,4
10^1,10.0,100,0.0,0.0,4,2.5,1.914854,4,2.5,1.914854,4,14.25,12.284814,4
10^1,10.0,105,0.0,0.0,4,1.75,1.707825,4,1.75,1.707825,4,16.0,12.832251,4
10^1,10.0,110,0.25,0.5,4,2.25,1.707825,4,2.5,1.290994,4,18.5,12.60952,4
10^1,10.0,115,0.25,0.5,4,2.25,2.629956,4,2.5,2.380476,4,21.0,14.854853,4
10^1,10.0,120,0.25,0.5,4,1.5,1.0,4,1.75,1.258306,4,22.75,15.47848,4
10^2,100.0,0,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,4
