# SECTION 1 — PER-TIMEPOINT BREAKDOWN
# sd_flag=1 when SD criteria met at that timepoint,# slope_score=weighted slope score at that timepoint (0–6),# contribution=sd_flag + slope_score,# cumulative=running total from t=0
group,concentration_cfu_ml,time_min,sd_flag,slope_score,contribution,cumulative_total
10^1 ,10.0,0,0,0.0,0.0,0.0
10^1 ,10.0,5,0,0.0,0.0,0.0
10^1 ,10.0,10,0,0.0,0.0,0.0
10^1 ,10.0,15,0,0.0,0.0,0.0
10^1 ,10.0,20,0,0.0,0.0,0.0
10^1 ,10.0,25,0,0.0,0.0,0.0
10^1 ,10.0,30,0,0.0,0.0,0.0
10^1 ,10.0,35,0,0.0,0.0,0.0
10^1 ,10.0,40,0,0.0,0.0,0.0
10^1 ,10.0,45,0,0.0,0.0,0.0
10^1 ,10.0,50,0,4.0,4.0,4.0
10^1 ,10.0,55,0,2.0,2.0,6.0
10^1 ,10.0,60,0,0.0,0.0,6.0
10^1 ,10.0,65,0,0.0,0.0,6.0
10^1 ,10.0,70,0,2.0,2.0,8.0
10^1 ,10.0,75,0,2.0,2.0,10.0
10^1 ,10.0,80,0,4.0,4.0,14.0
10^1 ,10.0,85,0,4.0,4.0,18.0
10^1 ,10.0,90,0,4.0,4.0,22.0
10^1 ,10.0,95,0,4.0,4.0,26.0
10^1 ,10.0,100,0,4.0,4.0,30.0
10^1 ,10.0,105,0,2.0,2.0,32.0
10^1 ,10.0,110,0,3.0,3.0,35.0
10^1 ,10.0,115,0,5.0,5.0,40.0
10^1 ,10.0,120,0,2.0,2.0,42.0
10^2,100.0,0,0,0.0,0.0,0.0
10^2,100.0,5,0,0.0,0.0,0.0
10^2,100.0,10,0,0.0,0.0,0.0
10^2,100.0,15,0,0.0,0.0,0.0
10^2,100.0,20,0,0.0,0.0,0.0
10^2,100.0,25,0,0.0,0.0,0.0
10^2,100.0,30,0,0.0,0.0,0.0
10^2,100.0,35,0,0.0,0.0,0.0
10^2,100.0,40,0,0.0,0.0,0.0
10^2,100.0,45,0,0.0,0.0,0.0
10^2,100.0,50,0,2.0,2.0,2.0
10^2,100.0,55,0,2.0,2.0,4.0
10^2,100.0,60,0,0.0,0.0,4.0
10^2,100.0,65,0,0.0,0.0,4.0
10^2,100.0,70,0,2.0,2.0,6.0
10^2,100.0,75,0,1.0,1.0,7.0
10^2,100.0,80,0,2.0,2.0,9.0
10^2,100.0,85,0,2.0,2.0,11.0
10^2,100.0,90,0,4.0,4.0,15.0
10^2,100.0,95,0,4.0,4.0,19.0
10^2,100.0,100,0,2.0,2.0,21.0
10^2,100.0,105,0,2.0,2.0,23.0
10^2,100.0,110,0,4.0,4.0,27.0
10^2,100.0,115,0,4.0,4.0,31.0
10^2,100.0,120,0,2.0,2.0,33.0
10^3,1000.0,0,0,0.0,0.0,0.0
10^3,1000.0,5,0,0.0,0.0,0.0
10^3,1000.0,10,0,0.0,0.0,0.0
10^3,1000.0,15,0,0.0,0.0,0.0
10^3,1000.0,20,0,0.0,0.0,0.0
10^3,1000.0,25,0,0.0,0.0,0.0
10^3,1000.0,30,0,0.0,0.0,0.0
10^3,1000.0,35,0,0.0,0.0,0.0
10^3,1000.0,40,0,0.0,0.0,0.0
10^3,1000.0,45,0,0.0,0.0,0.0
10^3,1000.0,50,0,2.0,2.0,2.0
10^3,1000.0,55,0,2.0,2.0,4.0
10^3,1000.0,60,0,2.0,2.0,6.0
