group,concentration_cfu_ml,time_min,R,G,B,RG_ratio,RB_ratio,GB_ratio,reagent_normalized
10^1 ,10.0,0,172.1143,166.4322,224.1692,1.043297,0.973799,0.933387,True
10^1 ,10.0,5,165.1642,155.224,227.6878,1.048023,0.94106,0.897938,True
10^1 ,10.0,10,152.937,139.4041,226.0607,1.069073,0.914759,0.855657,True
10^1 ,10.0,15,126.3903,63.1079,198.405,1.426398,1.048609,0.735145,True
10^1 ,10.0,20,126.4838,62.6413,198.5392,1.425996,1.053361,0.738685,True
10^1 ,10.0,25,126.6656,62.5396,198.6904,1.41408,1.057293,0.74769,True
10^1 ,10.0,30,127.2193,62.3097,198.7347,1.406335,1.065646,0.757747,True
10^1 ,10.0,35,127.2171,62.4973,198.7619,1.386576,1.068733,0.770772,True
10^1 ,10.0,40,149.2665,130.3809,224.9937,1.092311,0.895313,0.81965,True
10^1 ,10.0,45,145.0835,121.8032,224.1785,1.122009,0.89332,0.796179,True
10^1 ,10.0,50,142.3425,115.4556,223.1965,1.150616,0.899556,0.781804,True
10^1 ,10.0,55,139.7038,110.5542,222.6975,1.168472,0.905661,0.775081,True
10^1 ,10.0,60,139.0772,107.7625,222.3022,1.178026,0.910334,0.772762,True
10^1 ,10.0,65,137.1628,104.0481,221.7669,1.193282,0.92357,0.773974,True
10^1 ,10.0,70,136.9525,102.766,222.0187,1.189454,0.922467,0.775538,True
10^1 ,10.0,75,136.5098,100.3624,222.0421,1.201294,0.935213,0.778505,True
10^1 ,10.0,80,136.4515,99.1182,222.1263,1.2011,0.942865,0.785001,True
10^1 ,10.0,85,136.4404,97.9045,222.1335,1.202326,0.952791,0.792456,True
10^1 ,10.0,90,136.5267,96.6883,222.0455,1.203536,0.963393,0.800469,True
10^1 ,10.0,95,136.902,95.6285,222.2533,1.205646,0.977466,0.81074,True
10^1 ,10.0,100,137.366,94.8121,222.1605,1.207946,0.988295,0.818162,True
10^1 ,10.0,105,137.592,94.1072,222.4054,1.20663,0.997805,0.826936,True
10^1 ,10.0,110,137.6837,93.6054,222.4012,1.19959,1.004564,0.837423,True
10^1 ,10.0,115,137.7491,93.0705,222.3813,1.192455,1.011312,0.848093,True
10^1 ,10.0,120,126.2799,63.3761,198.4575,1.443388,1.044131,0.723389,True
10^2,100.0,0,169.734,168.3492,226.087,1.017153,0.952186,0.936129,True
10^2,100.0,5,155.8938,150.5643,229.8302,1.019813,0.879959,0.862863,True
10^2,100.0,10,144.0149,134.0965,227.6969,1.04655,0.855204,0.817164,True
10^2,100.0,15,113.1021,57.1665,193.3373,1.409093,0.962959,0.683389,True
10^2,100.0,20,113.411,56.8812,193.3005,1.408091,0.970088,0.688938,True
10^2,100.0,25,113.3939,56.5654,193.0833,1.399616,0.973999,0.695904,True
10^2,100.0,30,113.7834,56.3412,193.153,1.391053,0.980644,0.704965,True
10^2,100.0,35,114.3119,56.5044,193.2401,1.378063,0.98776,0.716774,True
10^2,100.0,40,141.7063,124.5045,223.9105,1.08593,0.854077,0.786494,True
10^2,100.0,45,137.9246,116.2095,222.4871,1.117987,0.855696,0.76539,True
10^2,100.0,50,134.3965,109.1227,220.979,1.149432,0.857863,0.746336,True
10^2,100.0,55,131.6348,103.0858,219.5467,1.180749,0.865599,0.733093,True
10^2,100.0,60,131.1593,100.2499,218.854,1.194214,0.872033,0.730215,True
10^2,100.0,65,129.415,97.3185,218.5777,1.203732,0.884115,0.734478,True
10^2,100.0,70,129.7568,96.175,218.8456,1.20419,0.886671,0.736322,True
10^2,100.0,75,129.213,93.9661,218.8776,1.214483,0.898022,0.739428,True
10^2,100.0,80,129.0577,92.2634,218.9457,1.220419,0.90473,0.741327,True
10^2,100.0,85,128.8534,90.64,218.572,1.226472,0.914471,0.745611,True
10^2,100.0,90,128.9189,89.3254,218.4333,1.230147,0.924753,0.751742,True
10^2,100.0,95,128.8885,87.9814,218.355,1.233732,0.93668,0.759225,True
10^2,100.0,100,128.8683,86.7948,218.1996,1.237896,0.943988,0.762575,True
10^2,100.0,105,128.9332,85.8571,218.1391,1.239346,0.953299,0.769195,True
10^2,100.0,110,128.8284,84.8991,218.1213,1.237541,0.958397,0.774437,True
10^2,100.0,115,128.971,84.0165,217.8963,1.23678,0.966356,0.781348,True
10^2,100.0,120,113.1589,57.645,193.6047,1.422004,0.959093,0.674466,True
10^3,1000.0,0,165.9614,166.7824,219.3108,1.003888,0.959789,0.956072,True
10^3,1000.0,5,157.4336,154.4495,224.037,1.003979,0.91163,0.908017,True
10^3,1000.0,10,140.6458,135.1996,221.8271,1.013728,0.857298,0.845688,True
10^3,1000.0,15,97.1147,51.7927,181.2897,1.335447,0.881788,0.660294,True
10^3,1000.0,20,97.3561,51.568,181.3532,1.333299,0.887619,0.665732,True
10^3,1000.0,25,97.2436,51.3642,181.5289,1.321815,0.888442,0.672138,True
10^3,1000.0,30,97.8578,51.3729,181.5876,1.312056,0.897104,0.683739,True
10^3,1000.0,35,97.8462,51.6068,181.7934,1.291506,0.898717,0.695867,True
10^3,1000.0,40,133.8047,121.8856,217.2829,1.047411,0.831053,0.793435,True
10^3,1000.0,45,128.5694,111.5828,215.7183,1.085368,0.822685,0.757977,True
10^3,1000.0,50,125.2577,103.8031,213.7455,1.126172,0.826587,0.733979,True
10^3,1000.0,55,122.4369,97.5655,211.954,1.160383,0.833957,0.718691,True
10^3,1000.0,60,121.6449,93.8286,210.9528,1.183383,0.839068,0.709042,True
10^3,1000.0,65,119.6831,89.7426,209.9315,1.207187,0.851305,0.705197,True
10^3,1000.0,70,119.9978,88.4271,210.1759,1.211197,0.853809,0.70493,True
10^3,1000.0,75,119.4262,86.3152,209.7981,1.221992,0.865925,0.708617,True
10^3,1000.0,80,119.4876,85.122,209.9929,1.224717,0.873353,0.713106,True
10^3,1000.0,85,119.2436,84.2558,209.7331,1.221004,0.881935,0.722303,True
10^3,1000.0,90,119.2463,83.5466,209.971,1.216556,0.889844,0.731445,True
10^3,1000.0,95,119.2622,82.7731,210.1399,1.213419,0.900605,0.742205,True
10^3,1000.0,100,119.0259,82.4328,210.0651,1.203852,0.905653,0.752296,True
10^3,1000.0,105,119.2822,82.3233,210.047,1.195795,0.915919,0.76595,True
10^3,1000.0,110,119.4902,81.9385,210.1403,1.18931,0.922689,0.775818,True
10^3,1000.0,115,119.4165,81.6406,210.1848,1.178484,0.927594,0.787108,True
10^3,1000.0,120,96.9789,51.9235,181.4451,1.35297,0.877041,0.648234,True
10^4,10000.0,0,177.8221,174.4563,217.8591,1.028318,1.035234,1.006725,True
10^4,10000.0,5,178.6364,170.8184,222.5093,1.030028,1.041508,1.011145,True
10^4,10000.0,10,170.4914,160.8459,222.2559,1.03291,1.037214,1.004167,True
10^4,10000.0,15,129.6254,105.27,197.0056,0.876993,1.083088,1.235003,True
10^4,10000.0,20,130.047,105.3831,197.1642,0.871512,1.090588,1.251374,True
10^4,10000.0,25,130.1321,105.5236,197.2411,0.861004,1.09421,1.270853,True
10^4,10000.0,30,130.2801,105.5347,197.3747,0.850304,1.098804,1.29225,True
10^4,10000.0,35,130.5984,105.7601,197.5614,0.841154,1.103806,1.312253,True
10^4,10000.0,40,169.8166,155.7482,219.2615,1.040291,1.045203,1.004721,True
10^4,10000.0,45,167.0819,151.5933,219.2745,1.038212,1.051778,1.013066,True
10^4,10000.0,50,164.5485,148.3478,218.878,1.035198,1.060408,1.024352,True
10^4,10000.0,55,162.4383,146.0269,218.629,1.028587,1.072638,1.042827,True
10^4,10000.0,60,161.7286,144.5215,218.9009,1.02146,1.075048,1.052462,True
10^4,10000.0,65,159.3846,142.4542,218.4872,1.012772,1.089307,1.07557,True
10^4,10000.0,70,159.2771,142.1501,218.84,1.000076,1.088421,1.088338,True
10^4,10000.0,75,158.1795,140.9148,219.0218,0.991402,1.098614,1.108141,True
10^4,10000.0,80,157.7505,140.449,219.179,0.979956,1.104697,1.127293,True
10^4,10000.0,85,157.317,139.8085,219.1261,0.970787,1.113654,1.147166,True
10^4,10000.0,90,157.0509,139.6776,219.2834,0.958362,1.122181,1.170937,True
10^4,10000.0,95,156.279,139.0925,219.7434,0.946225,1.128561,1.192699,True
10^4,10000.0,100,156.1684,139.0678,219.8121,0.936264,1.135575,1.212879,True
10^4,10000.0,105,156.0445,138.8088,220.0852,0.927759,1.143551,1.232595,True
10^4,10000.0,110,156.0155,138.9381,220.2233,0.915793,1.149573,1.255276,True
10^4,10000.0,115,155.9567,138.8137,219.9953,0.905184,1.157405,1.278641,True
10^4,10000.0,120,129.6265,105.3839,196.9256,0.891034,1.080139,1.212232,True
10^5,100000.0,0,200.9557,199.799,230.8853,1.014694,1.103907,1.087921,True
10^5,100000.0,5,196.0218,192.8977,234.6974,1.000901,1.08352,1.082545,True
10^5,100000.0,10,182.4692,178.1945,234.2117,0.997851,1.053417,1.055686,True
10^5,100000.0,15,137.9244,97.8654,198.0003,1.003742,1.146641,1.142366,True
10^5,100000.0,20,138.5062,97.7578,198.258,1.000604,1.15512,1.154423,True
10^5,100000.0,25,138.2119,97.5138,198.1099,0.989577,1.157051,1.169239,True
10^5,100000.0,30,138.6348,97.4024,198.1243,0.980379,1.164846,1.188159,True
10^5,100000.0,35,138.9187,97.5283,198.3364,0.970263,1.169541,1.205385,True
10^5,100000.0,40,178.8876,168.1966,229.9864,1.014755,1.049689,1.034427,True
10^5,100000.0,45,174.7005,160.8519,228.651,1.023069,1.054639,1.030859,True
10^5,100000.0,50,172.068,155.3259,227.2687,1.033872,1.067927,1.032939,True
10^5,100000.0,55,169.6369,150.4564,226.501,1.042546,1.081242,1.037117,True
10^5,100000.0,60,168.4166,146.9305,225.6302,1.04626,1.086116,1.038093,True
10^5,100000.0,65,167.029,143.3101,224.8463,1.055008,1.109267,1.05143,True
10^5,100000.0,70,166.7934,142.5914,224.6775,1.044029,1.11017,1.063352,True
10^5,100000.0,75,166.4176,140.9635,224.4394,1.042674,1.12793,1.081766,True
10^5,100000.0,80,166.2727,139.4981,224.2271,1.039938,1.138163,1.094452,True
10^5,100000.0,85,166.1,138.4004,224.1123,1.035414,1.149669,1.110347,True
10^5,100000.0,90,166.1125,137.7256,223.907,1.028024,1.162419,1.130731,True
10^5,100000.0,95,165.8875,137.1378,224.1849,1.018718,1.174215,1.152639,True
10^5,100000.0,100,165.6915,136.3001,223.9595,1.013528,1.18251,1.166727,True
10^5,100000.0,105,165.7684,135.6395,224.0356,1.008601,1.193391,1.183214,True
10^5,100000.0,110,165.7913,135.1488,223.9717,1.000462,1.20116,1.200605,True
10^5,100000.0,115,166.0242,134.6126,223.7498,0.99369,1.211445,1.219137,True
10^5,100000.0,120,137.8347,98.0161,198.2297,1.018674,1.140979,1.120063,True
10^6,1000000.0,0,183.3307,179.275,228.4942,1.031677,1.017627,0.986381,True
10^6,1000000.0,5,182.1771,171.4546,232.3958,1.046546,1.016966,0.971736,True
10^6,1000000.0,10,172.9161,158.8326,231.5176,1.060879,1.009882,0.95193,True
10^6,1000000.0,15,148.2924,96.3077,203.2239,1.09665,1.201148,1.095288,True
10^6,1000000.0,20,148.8036,95.8302,203.2438,1.096618,1.210556,1.103899,True
