# LIKERT REFERENCE COLORS
level,label,R,G,B
1,No change (Negative),94,86,198
2,Slight change (Likely negative),80,68,175
3,Moderate change (Ambiguous),92,30,154
4,Clear change (Likely positive),210,50,158
5,Definite change (Positive),240,60,135

# LIKERT SCORES — PER TIMEPOINT
group,concentration_cfu_ml,time_min,likert_score,match_distance_rgb,above_threshold
10^1 ,10.0,0,1,149.36,False
10^1 ,10.0,5,1,137.18,False
10^1 ,10.0,10,1,126.04,False
10^1 ,10.0,15,1,31.39,False
10^1 ,10.0,20,1,31.41,False
10^1 ,10.0,25,1,31.19,False
10^1 ,10.0,30,1,31.31,False
10^1 ,10.0,35,1,31.31,False
10^1 ,10.0,40,1,116.77,False
10^1 ,10.0,45,1,110.68,False
10^1 ,10.0,50,1,103.57,False
10^1 ,10.0,55,1,99.88,False
10^1 ,10.0,60,1,96.29,False
10^1 ,10.0,65,1,92.12,False
10^1 ,10.0,70,1,88.69,False
10^1 ,10.0,75,1,85.7,False
10^1 ,10.0,80,1,83.52,False
10^1 ,10.0,85,1,81.34,False
10^1 ,10.0,90,1,80.12,False
10^1 ,10.0,95,1,79.0,False
10^1 ,10.0,100,1,78.37,False
10^1 ,10.0,105,1,32.13,False
10^1 ,10.0,110,1,31.83,False
10^1 ,10.0,115,1,31.73,False
10^1 ,10.0,120,1,31.43,False
10^2,100.0,0,1,146.23,False
10^2,100.0,5,1,128.78,False
10^2,100.0,10,1,115.31,False
10^2,100.0,15,1,26.96,False
10^2,100.0,20,1,27.41,False
10^2,100.0,25,1,27.93,False
10^2,100.0,30,1,28.64,False
10^2,100.0,35,1,29.38,False
10^2,100.0,40,1,105.35,False
10^2,100.0,45,1,98.45,False
10^2,100.0,50,1,92.09,False
10^2,100.0,55,1,88.37,False
10^2,100.0,60,1,84.68,False
10^2,100.0,65,1,82.33,False
10^2,100.0,70,1,79.24,False
10^2,100.0,75,1,76.94,False
10^2,100.0,80,1,74.6,False
10^2,100.0,85,1,72.89,False
10^2,100.0,90,1,71.54,False
10^2,100.0,95,1,70.7,False
10^2,100.0,100,1,69.84,False
10^2,100.0,105,1,25.48,False
10^2,100.0,110,1,25.97,False
10^2,100.0,115,1,26.14,False
10^2,100.0,120,1,26.44,False
10^3,1000.0,0,1,172.73,False
10^3,1000.0,5,1,152.79,False
10^3,1000.0,10,1,135.89,False
10^3,1000.0,15,1,47.25,False
10^3,1000.0,20,1,47.19,False
10^3,1000.0,25,1,47.09,False
10^3,1000.0,30,1,47.07,False
10^3,1000.0,35,1,47.17,False
10^3,1000.0,40,1,124.8,False
10^3,1000.0,45,1,118.31,False
10^3,1000.0,50,1,111.43,False
10^3,1000.0,55,1,108.5,False
10^3,1000.0,60,1,105.28,False
10^3,1000.0,65,1,102.36,False
10^3,1000.0,70,1,99.9,False
10^3,1000.0,75,1,97.96,False
10^3,1000.0,80,1,95.95,False
10^3,1000.0,85,1,94.69,False
10^3,1000.0,90,1,93.47,False
10^3,1000.0,95,1,92.4,False
10^3,1000.0,100,1,91.59,False
10^3,1000.0,105,1,48.55,False
10^3,1000.0,110,1,48.09,False
