group,time_min,R,G,B,RG_ratio,RB_ratio,GB_ratio
Resazurin Reagent Negative Control,0,210.8718,203.9369,213.5572,1.034005,0.987425,0.954952
Resazurin Reagent Negative Control,5,203.5103,196.6997,213.9986,1.034624,0.950989,0.919163
Resazurin Reagent Negative Control,10,195.854,189.1557,213.767,1.035411,0.916203,0.884869
Resazurin Reagent Negative Control,15,133.0857,124.185,194.192,1.071673,0.68533,0.639496
Resazurin Reagent Negative Control,20,132.6215,123.2882,194.0366,1.075703,0.683487,0.635386
Resazurin Reagent Negative Control,25,132.0216,122.3602,194.1597,1.078959,0.679964,0.630204
Resazurin Reagent Negative Control,30,131.794,121.7003,194.1881,1.082939,0.678692,0.626713
Resazurin Reagent Negative Control,35,131.6011,120.9364,194.3812,1.088185,0.677026,0.622161
Resazurin Reagent Negative Control,40,188.5437,182.6281,213.4031,1.032391,0.88351,0.85579
Resazurin Reagent Negative Control,45,185.219,178.8347,213.4267,1.035699,0.867834,0.837921
Resazurin Reagent Negative Control,50,179.3577,173.9253,212.6757,1.031234,0.843339,0.817796
Resazurin Reagent Negative Control,55,177.257,171.5173,212.693,1.033464,0.833394,0.806408
Resazurin Reagent Negative Control,60,173.8224,168.2726,212.6755,1.03298,0.817313,0.791218
Resazurin Reagent Negative Control,65,171.1187,165.6104,212.7655,1.033261,0.80426,0.778371
Resazurin Reagent Negative Control,70,168.5172,163.152,212.6612,1.032885,0.792421,0.767192
Resazurin Reagent Negative Control,75,166.2962,161.0832,212.8092,1.032362,0.781433,0.756937
Resazurin Reagent Negative Control,80,164.0424,158.9168,212.7218,1.032254,0.771159,0.747064
Resazurin Reagent Negative Control,85,162.3417,157.0703,212.8275,1.033561,0.762785,0.738017
Resazurin Reagent Negative Control,90,160.7813,155.3077,212.8707,1.035243,0.7553,0.729587
Resazurin Reagent Negative Control,95,159.4171,153.6955,212.9622,1.037227,0.74857,0.721703
Resazurin Reagent Negative Control,100,158.2585,152.0616,212.9984,1.040753,0.743003,0.713909
Resazurin Reagent Negative Control,105,136.1282,128.6723,193.728,1.057945,0.702677,0.66419
Resazurin Reagent Negative Control,110,135.247,127.3579,193.9301,1.061944,0.697401,0.656721
Resazurin Reagent Negative Control,115,134.2125,126.0995,194.0087,1.064338,0.691786,0.649968
Resazurin Reagent Negative Control,120,133.8662,125.2509,194.034,1.068785,0.689911,0.64551
