# SD ALGORITHM — CV (SD/mean) PER TIMEPOINT,thr_all=0.04,thr_two=0.08
group,concentration_cfu_ml,time_min,cv_R,cv_G,cv_B,cv_RG,cv_RB,cv_GB,sd_flag,meets_thr_all,meets_thr_two
10^1 ,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,5,0.029179,0.035363,0.001333,0.005763,0.00393,0.009693,0,False,False
10^1 ,10.0,10,0.041354,0.0476,0.001249,0.005693,0.003853,0.009568,0,False,False
10^1 ,10.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^1 ,10.0,45,0.016435,0.019896,0.00046,0.0012,0.004238,0.005438,0,False,False
10^1 ,10.0,50,0.026061,0.029804,0.002532,0.004592,0.003111,0.005318,0,False,False
10^1 ,10.0,55,0.029725,0.034661,0.00238,0.005292,0.00273,0.006427,0,False,False
10^1 ,10.0,60,0.032594,0.039093,0.002583,0.006889,0.003692,0.006031,0,False,False
10^1 ,10.0,65,0.036115,0.044332,0.002646,0.008537,0.003912,0.006604,0,False,False
10^1 ,10.0,70,0.039477,0.049184,0.002843,0.01004,0.004367,0.007137,0,False,False
10^1 ,10.0,75,0.042334,0.053891,0.002913,0.012103,0.005116,0.008051,0,False,False
10^1 ,10.0,80,0.044589,0.057766,0.002976,0.013822,0.00651,0.008319,0,False,False
10^1 ,10.0,85,0.0383,0.052608,0.002721,0.01505,0.008487,0.006956,0,False,False
10^1 ,10.0,90,0.031453,0.047652,0.00158,0.016105,0.009866,0.006649,0,False,False
10^1 ,10.0,95,0.02658,0.045045,0.001418,0.018695,0.012746,0.006297,0,False,False
10^1 ,10.0,100,0.020726,0.042018,0.00106,0.021423,0.015802,0.006215,0,False,False
10^1 ,10.0,105,0.084965,0.130816,0.052193,0.055542,0.016481,0.053348,0,False,False
10^1 ,10.0,110,0.113047,0.175998,0.070044,0.070089,0.016456,0.07169,0,False,False
10^1 ,10.0,115,0.130431,0.205685,0.080816,0.076168,0.016061,0.081502,0,False,False
10^1 ,10.0,120,0.140621,0.225257,0.086503,0.077553,0.015913,0.087296,0,False,False
10^2,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,5,0.04514,0.050173,0.000598,0.004616,0.01797,0.022585,0,False,False
10^2,100.0,10,0.058149,0.064936,0.001956,0.006088,0.019074,0.025125,0,False,False
10^2,100.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False
10^2,100.0,45,0.019198,0.024821,0.000715,0.003363,0.005826,0.009189,0,False,False
10^2,100.0,50,0.027254,0.032823,0.002438,0.006115,0.004142,0.008329,0,False,False
10^2,100.0,55,0.030278,0.038283,0.002629,0.008303,0.003388,0.009644,0,False,False
10^2,100.0,60,0.032817,0.043845,0.002801,0.01159,0.004336,0.010226,0,False,False
10^2,100.0,65,0.034524,0.047759,0.002761,0.013705,0.006513,0.009899,0,False,False
10^2,100.0,70,0.03647,0.052143,0.00286,0.016211,0.008318,0.010104,0,False,False
10^2,100.0,75,0.038088,0.056187,0.002964,0.018802,0.010426,0.010307,0,False,False
10^2,100.0,80,0.039773,0.060128,0.00292,0.021108,0.011957,0.01076,0,False,False
10^2,100.0,85,0.031983,0.053289,0.002227,0.021995,0.014148,0.008173,0,False,False
10^2,100.0,90,0.025204,0.048553,0.001259,0.023036,0.015503,0.007795,0,False,False
10^2,100.0,95,0.020868,0.045385,0.001015,0.024346,0.017544,0.006913,0,False,False
